Anno,DescrAtecoLiv1,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2020,Attivita' manifatturiere,Total,22385258,247,7.312018946121966,2.920187696048034
2020,"Attivita' professionali, scientifiche e tecniche",Centro,4415069,7,0.20722320899940794,0.5759518237852385
2020,"Attivita' professionali, scientifiche e tecniche",NordEst,4527840,5,0.14801657785671996,0.5906629558468405
2020,"Attivita' professionali, scientifiche e tecniche",NordOvest,6063305,9,0.2664298401420959,0.7909664770621151
2020,"Attivita' professionali, scientifiche e tecniche",Sud,4538596,5,0.14801657785671996,0.5920660908412503
2020,"Attivita' professionali, scientifiche e tecniche",Total,22385258,26,0.7696862048549438,2.920187696048034
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Centro,4763433,27,0.7992895204262878,0.6213963867447575
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",NordEst,5034056,26,0.7696862048549438,0.6566995293249148
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",NordOvest,6642822,53,1.5689757252812315,0.8665652668125243
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Sud,5340104,43,1.2729425695677916,0.6966239118806177
2020,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Total,22385258,149,4.410894020130255,2.920187696048034
2020,Costruzioni,Centro,4415069,36,1.0657193605683837,0.5759518237852385
2020,Costruzioni,NordEst,5034056,42,1.2433392539964476,0.6566995293249148
2020,Costruzioni,NordOvest,6642822,61,1.8058022498519832,0.8665652668125243
2020,Costruzioni,Sud,5340104,61,1.8058022498519832,0.6966239118806177
2020,Costruzioni,Total,22385258,200,5.920663114268798,2.920187696048034
2020,Estrazione di minerali da cave e miniere,Centro,1544467,1,0.029603315571343988,0.20147784449713377
2020,Estrazione di minerali da cave e miniere,NordEst,1966238,1,0.029603315571343988,0.2564984515747862
2020,Estrazione di minerali da cave e miniere,Sud,475361,1,0.029603315571343988,0.06201149628836485
2020,Estrazione di minerali da cave e miniere,Total,22385258,3,0.08880994671403197,2.920187696048034
2020,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Centro,4415069,11,0.3256364712847839,0.5759518237852385
2020,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",NordEst,4041665,8,0.2368265245707519,0.5272407583842893
2020,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",NordOvest,6642822,12,0.3552397868561279,0.8665652668125243
2020,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Sud,4722291,15,0.4440497335701598,0.6160293562557272
2020,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Total,22385258,46,1.3617525162818236,2.920187696048034
2020,"Fornitura di energia elettrica, gas, vapore e aria condizionata",NordEst,1966238,2,0.059206631142687975,0.2564984515747862
2020,"Fornitura di energia elettrica, gas, vapore e aria condizionata",NordOvest,579517,1,0.029603315571343988,0.07559878975040933
2020,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Total,22385258,3,0.08880994671403197,2.920187696048034
2020,Istruzione,Centro,2258785,2,0.059206631142687975,0.2946616101104512
2020,Istruzione,NordEst,1966238,1,0.029603315571343988,0.2564984515747862
2020,Istruzione,NordOvest,4315137,6,0.17761989342806395,0.562915556933122
2020,Istruzione,Total,22385258,9,0.2664298401420959,2.920187696048034
2020,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Centro,4415069,16,0.4736530491415038,0.5759518237852385
2020,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",NordEst,4527840,9,0.2664298401420959,0.5906629558468405
2020,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",NordOvest,6642822,18,0.5328596802841918,0.8665652668125243
2020,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Sud,4577069,23,0.6808762581409118,0.5970849466091872
2020,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Total,22385258,66,1.9538188277087036,2.920187696048034
2020,Non determinato,Centro,4763433,63,1.8650088809946712,0.6213963867447575
2020,Non determinato,NordEst,5034056,38,1.1249259917110717,0.6566995293249148
2020,Non determinato,NordOvest,6642822,90,2.664298401420959,0.8665652668125243
2020,Non determinato,Sud,5340104,119,3.522794552989935,0.6966239118806177
2020,Non determinato,Total,22385258,310,9.177027827116637,2.920187696048034
2020,Sanita' e assistenza sociale,Centro,4415069,34,1.0065127294256957,0.5759518237852385
2020,Sanita' e assistenza sociale,NordEst,5034056,25,0.7400828892835998,0.6566995293249148
2020,Sanita' e assistenza sociale,NordOvest,6642822,81,2.3978685612788633,0.8665652668125243
2020,Sanita' e assistenza sociale,Sud,5156409,70,2.0722320899940794,0.6726606464661407
