Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2020,Puglia,15-64,1158779,Sud,23828,0.014314541442664036,0.020563023665427144,Moderate (10001-50000)
2020,Puglia,65+,29333,Sud,579,0.000347831101867654,0.01973886066887124,Very low (1-1000)
2020,Sardegna,15+,551740,0,0,0.0,0.0,No injuries
2020,Sardegna,15-64,535237,0,0,0.0,0.0,No injuries
2020,Sardegna,65+,16503,0,0,0.0,0.0,No injuries
2020,Sicilia,0-14,0,Sud,850,0.000510632878389476,0.0,Very low (1-1000)
2020,Sicilia,15+,1305304,Sud,21808,0.01310103742578552,0.01670721916120689,Moderate (10001-50000)
2020,Sicilia,15-64,1269872,Sud,21165,0.01271475867189795,0.016667034157773382,Moderate (10001-50000)
2020,Sicilia,65+,35432,Sud,643,0.000386278753887568,0.018147437344773087,Very low (1-1000)
2020,Toscana,0-14,0,Centro,1199,0.000720292730810566,0.0,Low (1001-10000)
2020,Toscana,15+,1544467,Centro,40159,0.02412530089793289,0.026001850476572178,Moderate (10001-50000)
2020,Toscana,15-64,1485444,Centro,39081,0.023477698259222482,0.026309305500577605,Moderate (10001-50000)
2020,Toscana,65+,59023,Centro,1078,0.000647602638710417,0.01826406655032784,Low (1001-10000)
2020,Total,0-14,0,Total,18210,0.010939558488791008,0.0,Moderate (10001-50000)
2020,Total,15+,22385258,Total,0,0.0,0.0,No injuries
2020,Total,15-64,21721015,Total,530495,0.31869198684850003,0.024423122031820337,Extremely High (200001+)
2020,Total,65+,664243,Total,12232,0.007348307492305964,0.018414947541788167,Moderate (10001-50000)
2020,Trentino Alto Adige,0-14,0,NordEst,772,0.00046377480249020604,0.0,Very low (1-1000)
2020,Trentino Alto Adige,15+,486175,NordEst,21628,0.012992903404479512,0.044486038977734364,Moderate (10001-50000)
2020,Trentino Alto Adige,15-64,473481,NordEst,21021,0.012628251454853143,0.0443967128564821,Moderate (10001-50000)
2020,Trentino Alto Adige,65+,12694,NordEst,607,0.000364651949626366,0.04781786670868127,Very low (1-1000)
2020,Umbria,0-14,0,Centro,302,0.00018142485796896602,0.0,Very low (1-1000)
2020,Umbria,15+,348364,Centro,7724,0.004640151003153308,0.022172210676189272,Low (1001-10000)
2020,Umbria,15-64,335812,Centro,7441,0.004470140291877753,0.02215823139137375,Low (1001-10000)
2020,Umbria,65+,12552,Centro,283,0.000170010711275554,0.022546207775653283,Very low (1-1000)
2020,Valle D'Aosta,0-14,0,NordOvest,34,2.0425315135579e-05,0.0,Very low (1-1000)
2020,Valle D'Aosta,15+,53103,NordOvest,1667,0.001001441186206184,0.03139182343747057,Low (1001-10000)
2020,Valle D'Aosta,15-64,51853,NordOvest,1631,0.000979814381944982,0.03145430351185081,Low (1001-10000)
2020,Valle D'Aosta,65+,1250,NordOvest,36,2.1626804261201e-05,0.0288,Very low (1-1000)
2020,Veneto,0-14,0,NordEst,1865,0.001120388609642791,0.0,Low (1001-10000)
2020,Veneto,15+,2075427,NordEst,67067,0.040290135594055275,0.032314795943196264,High (50001-100000)
2020,Veneto,15-64,2015467,NordEst,65784,0.03951938031996857,0.03263958179419459,High (50001-100000)
2020,Veneto,65+,59960,NordEst,1283,0.000770755274086703,0.021397598398932623,Low (1001-10000)
2021,Abruzzo,0-14,0,Sud,561,0.000344697495689745,0.0,Very low (1-1000)
2021,Abruzzo,15+,484387,Sud,11014,0.006767376501830399,0.02273801732911908,Moderate (10001-50000)
2021,Abruzzo,15-64,466939,Sud,10608,0.006517916282133364,0.02271817089598428,Moderate (10001-50000)
2021,Abruzzo,65+,17448,Sud,406,0.000249460219697034,0.023269142595139843,Very low (1-1000)
2021,Basilicata,0-14,0,Sud,197,0.000121043505616541,0.0,Very low (1-1000)
2021,Basilicata,15+,189066,Sud,3968,0.002438074265413385,0.020987380068335924,Low (1001-10000)
2021,Basilicata,15-64,183955,Sud,3817,0.002345294725575325,0.020749639857573863,Low (1001-10000)
2021,Basilicata,65+,5111,Sud,151,9.2779539838059e-05,0.029544120524359226,Very low (1-1000)
2021,Calabria,0-14,0,Sud,475,0.000291856168364757,0.0,Very low (1-1000)
2021,Calabria,15+,520963,Sud,7483,0.004597809911312591,0.01436378399233727,Low (1001-10000)
2021,Calabria,15-64,503871,Sud,7275,0.004470007631270759,0.014438219306131922,Low (1001-10000)
2021,Calabria,65+,17092,Sud,208,0.00012780228004183,0.012169435993447227,Very low (1-1000)
2021,Campania,0-14,0,Sud,706,0.000433790431295829,0.0,Very low (1-1000)
2021,Campania,15+,1592095,Sud,19638,0.012066255651257069,0.0123346910831326,Moderate (10001-50000)
2021,Campania,15-64,1545081,Sud,19054,0.011707426172678085,0.012332039550030064,Moderate (10001-50000)
2021,Campania,65+,47014,Sud,584,0.000358829478578986,0.012421831794784533,Very low (1-1000)
2021,Emilia Romagna,0-14,0,NordEst,3811,0.002341608121343349,0.0,Low (1001-10000)
2021,Emilia Romagna,15+,1978443,NordEst,71170,0.04372927053162061,0.035972732092862926,High (50001-100000)
2021,Emilia Romagna,15-64,1904083,NordEst,69472,0.042685961533971445,0.03648580445285211,High (50001-100000)
2021,Emilia Romagna,65+,74360,NordEst,1698,0.001043308997649175,0.022834857450242066,Low (1001-10000)
2021,Friuli Venezia Giulia,0-14,0,NordEst,1065,0.000654372251175719,0.0,Low (1001-10000)
2021,Friuli Venezia Giulia,15+,510300,NordEst,14913,0.009163054818576061,0.029223985890652556,Moderate (10001-50000)
2021,Friuli Venezia Giulia,15-64,495446,NordEst,14634,0.008991627721789183,0.029537023207372747,Moderate (10001-50000)
2021,Friuli Venezia Giulia,65+,14854,NordEst,279,0.000171427096786878,0.01878281944257439,Very low (1-1000)
2021,Lazio,0-14,0,Centro,1956,0.001201832979624138,0.0,Low (1001-10000)
